CTID,species,tissue_class,tissue_type,uberonongology_id,cancer_type,major_cell_type,cell_name,cellontology_id,marker,Symbol,GeneID,Genetype,Genename,UNIPROTID,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,Phenotype_label,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence,curator
CT001,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,SPP1+ macrophages,,,"SPP1,CD68,LUM,TIMP1",,,,,36708811,Identification of a tumour immune barrier in the HCC microenvironment that determines the efficacy of immunotherapy,Journal of hepatology,2023,spatial transcriptome,10 × Spatial,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,"Notably, patients with HCC and higher infiltration of SPP1+ macrophages had shorter overall survival in three independent cohorts (Fig. 3G and Fig. S4E-F) and shorter progression-free survival in the TCGA LIHC cohort (the only cohort with available progression-free survival information) (Fig. S4G).",
CT002,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,SPP1+ macrophages,,,"SPP1,CD68,LUM,TIMP1",,,,,36708811,Identification of a tumour immune barrier in the HCC microenvironment that determines the efficacy of immunotherapy,Journal of hepatology,2023,spatial transcriptome,10 × Spatial,Biological phenotype,immuno suppression,clinical samples,multiplex immunohistochemistry,"SignalStain® Boost
IHC",protein,"mIHC staining showed that SPP1+ macrophages tended to localize at the tumour boundary, whereas CD8+ T cells localized outside the TIB rather than in the tumour core of ICB non-responders (Fig. 5H), while there was less infiltration of SPP1+ macrophages and more infiltration of CD8+ T cells in the tumours of responders (Fig. 5I).",
CT003,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,SPP1+ macrophages,,,"SPP1,CD68,LUM,TIMP1",,,,,36708811,Identification of a tumour immune barrier in the HCC microenvironment that determines the efficacy of immunotherapy,Journal of hepatology,2023,spatial transcriptome,10 × Spatial,Biological phenotype,immuno suppression,mice,multiplex immunohistochemistry,"SignalStain® Boost
IHC",protein,"the anti-SPP1 and anti-PD-1 combination dramatically increased the overall survival of tumour-bearing GDL mice (Fig. 6I). Further-more, the combination of anti-SPP1 and anti-PD-1 treatment also markedly reduced the proportion of aSMA+ ﬁbroblasts and increased the proportion of CD8+ T cells in the tumour region (Fig. 6J). In addition, we validated the blockade of SPP1 (Fig. S8F-H) or conditional knockout of macrophage-speciﬁc deletion of Spp1 in mice",
CT004,Human,Liver,Liver,,Hepatocelluar carcinoma,Fibroblast,Cancer-associated fibroblast,,,"SPP1,CD68,LUM,TIMP2",,,,,36708811,Identification of a tumour immune barrier in the HCC microenvironment that determines the efficacy of immunotherapy,Journal of hepatology,2023,spatial transcriptome,10 × Spatial,Biological phenotype,immuno suppression,mice,multiplex immunohistochemistry,"SignalStain® Boost
IHC",protein,"the anti-SPP1 and anti-PD-1 combination dramatically increased the overall survival of tumour-bearing GDL mice (Fig. 6I). Further-more, the combination of anti-SPP1 and anti-PD-1 treatment also markedly reduced the proportion of aSMA+ ﬁbroblasts and increased the proportion of CD8+ T cells in the tumour region (Fig. 6J). In addition, we validated the blockade of SPP1 (Fig. S8F-H) or conditional knockout of macrophage-speciﬁc deletion of Spp1 in mice",
CT005,Human,Liver,Liver,,Hepatocelluar carcinoma,T cell,CD4+ TCM,,,"IL7R,ANXA1,CCR7,LTB,CXCR4,CRIP1,TSC22D3,CD2,RP11-138A9.2,CCR6",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,"Clinical relevance analysis showed that higher abundances of CD4+ TCM or CD20+ B cells in tumors are associated with improved patient’s survival (Fig. 2d and Supplementary Fig. 4e), supporting their antitumor activities.",
CT006,Human,Liver,Liver,,Hepatocelluar carcinoma,T cell,CD4+ TCM,,,"IL7R,ANXA1,CCR7,LTB,CXCR4,CRIP1,TSC22D3,CD2,RP11-138A9.2,CCR6",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,existence,clinical samples,immunohistochemistry,"IHC Kit (PerkinElmer, USA)",protein,"Indeed, the coexistence of CD8+ T, CD4+ TCM and CD20+ B cell aggregates is detected in four out of nine patients assessed by immunohistochemistry (IHC) assays (Fig. 2b and Supplementary Fig. 3d).",
CT007,Human,Liver,Liver,,Hepatocelluar carcinoma,B cell,CD20+ B cells,,,"MS4A1,CD79A,GPR183,BANK1,LY9,SMIM14,TNFRSF13C,RP5-887A10.1,EZR,CD37",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,"Clinical relevance analysis showed that higher abundances of CD4+ TCM or CD20+ B cells in tumors are associated with improved patient’s survival (Fig. 2d and Supplementary Fig. 4e), supporting their antitumor activities.",
CT008,Human,Liver,Liver,,Hepatocelluar carcinoma,B cell,CD20+ B cells,,,"MS4A1,CD79A,GPR183,BANK1,LY9,SMIM14,TNFRSF13C,RP5-887A10.1,EZR,CD37",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,existence,clinical samples,immunohistochemistry,"IHC Kit (PerkinElmer, USA)",clinical data,"Indeed, the coexistence of CD8+ T, CD4+ TCM and CD20+ B cell aggregates is detected in four out of nine patients assessed by immunohistochemistry (IHC) assays (Fig. 2b and Supplementary Fig. 3d).",
CT009,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,MMP9+ macrophages,,,"MMP9,SPP117,ITGAM,CD45,CD68",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,We further examined the clinical relevance of these two subtypes of TAMs in two additional HCC cohorts and found that higher abundance of MMP9+ TAMs in tumors is strongly associated with worse overall survival.,
CT010,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,MMP9+ macrophages,,,"MMP9,SPP117,ITGAM,CD45,CD68",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Biological phenotype,migration,cell line,co-culture,"Proteintech,Abcam",protein,"We observed that co-culturing with MMP9+ TAMs significantly promoted themigration and invasion ofHCC cells and the tube formation of human umbilical vein endothelial cells (HUVECs) (Fig. 3d–f and Supplementary Fig. 7a, b), suggesting that the MMP9+ TAMs could promote HCC progression through inducing HCC cells migration, invasion, and tumor angiogenesis.",
CT011,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,MMP9+ macrophages,,,"MMP9,SPP117,ITGAM,CD45,CD68",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Biological phenotype,invasion,cell line,co-culture,"Proteintech,Abcam",protein,"We observed that co-culturing with MMP9+ TAMs significantly promoted themigration and invasion ofHCC cells and the tube formation of human umbilical vein endothelial cells (HUVECs) (Fig. 3d–f and Supplementary Fig. 7a, b), suggesting that the MMP9+ TAMs could promote HCC progression through inducing HCC cells migration, invasion, and tumor angiogenesis.",
CT012,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,MMP9+ macrophages,,,"MMP9,SPP117,ITGAM,CD45,CD68",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Biological phenotype,angiogenesis,cell line,co-culture,"Proteintech,Abcam",protein,"We observed that co-culturing with MMP9+ TAMs significantly promoted themigration and invasion ofHCC cells and the tube formation of human umbilical vein endothelial cells (HUVECs) (Fig. 3d–f and Supplementary Fig. 7a, b), suggesting that the MMP9+ TAMs could promote HCC progression through inducing HCC cells migration, invasion, and tumor angiogenesis.",
CT013,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,SPP1+ macrophages,,," CD68, MAFB, CSF1R, CD14 ",,,,,35303421,Immune phenotypic linkage between colorectal cancer and liver metastasis,Cancer Cell,2022,single cell transcriptome,10× Genomics and Smart-seq2,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,Patients with higher levels of SPP1 alone or of the signature of SPP1+ TAMs were associated with worse overall survival (OS) in treatment-naive patients (Figures 5E and 5F).,
CT014,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,SPP1+ macrophages,,," CD68, MAFB, CSF1R, CD14 ",,,,,35303421,Immune phenotypic linkage between colorectal cancer and liver metastasis,Cancer Cell,2022,single cell transcriptome,10× Genomics and Smart-seq2,Clinical phenotype,higher proportion,clinical samples,Flow cytometry,Flow cytometry,protein,"The florescence-activated cell sorting (FACS) analysis further validated that SPP1+ TAMs were enriched in Liv.Mets despite their absence in non-metastatic HCC, and such enrichment in metastatic tumors was even higher compared with matched primary CRC tumors",
CT015,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,SPP1+ macrophages,,," CD68, MAFB, CSF1R, CD14 ",,,,,35303421,Immune phenotypic linkage between colorectal cancer and liver metastasis,Cancer Cell,2022,single cell transcriptome,10× Genomics and Smart-seq2,Clinical phenotype,higher proportion,clinical samples,immunohistochemistry,Abcam,protein,"Multicolor immunohistochemistry (IHC) also confirmed the existence of this TAM subset, indicated by the co-expression of CD68 and MARCO at both Pri.CT (Figure S5E) and Liv.Mets.",
CT016,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Cancer stem cells,Cancer stem cells,,,"CD133/PROM1, LGR5",,,,,8061397,Colorectal Cancer Stem Cell States Uncovered by Simultaneous Single-Cell Analysis of Transcriptome and Telomeres,Advanced science,2021,single cell transcriptome,10× Genomics and Smart-seq2,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,"Moreover CRC patients with a high CSC signature represented by the CSC specific genes (NOTUM, SMOC2, BAMBI, PHLDA1, TNFRSF19, PROX1, IFI27, and ERBB3) exhibited significantly worse survival",Zhihong Lin
CT017,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Cancer stem cells,Cancer stem cells,,,"CD133/PROM1, LGR5",,,,,8061397,Colorectal Cancer Stem Cell States Uncovered by Simultaneous Single-Cell Analysis of Transcriptome and Telomeres,Advanced science,2021,single cell transcriptome,10× Genomics and Smart-seq2,Clinical phenotype,low proliferation,clinical samples,immunohistochemistry,"BD Biosciences, Miltenyi Biotec",protein,These immunofluorescence in situ data were consistent with our single-cell analysis results that proliferation is low in CSCs,Zhihong Lin
CT018,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Cancer stem cells,Cancer stem cells,,," CD133/PROM1, LGR5",,,,,8061397,Colorectal Cancer Stem Cell States Uncovered by Simultaneous Single-Cell Analysis of Transcriptome and Telomeres,Advanced science,2021,single cell transcriptome,10× Genomics and Smart-seq2,Biological phenotype,short telomeres,clinical samples, fluorescence in situ hybridization,Panagene,DNA," IF-FISH  of tumors using CSC feature genes (e.g., BAMBI and TNFRSF19) showed that telomeres were notably shorter in a subset of the marker positive cells than in negative cells",Zhihong Lin
CT019,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Stromal cells,mesenchymal stromal cells,,," COL1A1, COL3A1",,,,,8976074,Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer,Nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,The Kaplan–Meier curves showed patients with higher infiltration of MSCs (left) or myeloid cells (right) are associated with worse OS (d) and PFS (e) in TCGA COAD/READ cohort,Zhihong Lin
CT020,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Myeloid cells,myeloid cells,,," CD14, FCGR3A",,,,,8976074,Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer,Nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,"In addition, greater infiltration of myeloid cells was also associated with worse OS ",Zhihong Lin
CT021,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Fibroblast cell,FAP+ fibroblasts,,,"FAP, MMP1, MMP3",,,,,8976074,Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer,Nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,"Interestingly, CRC patients with higher degrees of FAP+ fibroblasts infiltration exhibited shorter PFS in both the TCGA and dataset GSE17536 related cohorts (Fig. 3e, Supplementary Fig. 4c).",Zhihong Lin
CT022,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Fibroblast cell,FAP+ fibroblasts,,,"FAP, MMP1, MMP3",,,,,8976074,Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer,Nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,immunotherapy resistance,clinical samples,single cell transcriptome,analysis,clinical data,FAP- or SPP1-enriched patients have a significantly poorer response to anti-PD-L1 treatment than other patients,Zhihong Lin
CT023,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Macrophages,SPP1+ macrophages,,," SPP1, CD206",,,,,8976074,Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer,Nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,immunotherapy resistance,clinical samples,single cell transcriptome,analysis,clinical data,FAP- or SPP1-enriched patients have a significantly poorer response to anti-PD-L1 treatment than other patients,Zhihong Lin
CT024,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Fibroblast cell,FAP+ fibroblasts,,,"FAP, MMP1, MMP3",,,,,8976074,Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer,Nature communications,2022,spatial transcriptome,Visium Spatial platform,Biological phenotype,co-localization,clinical samples,immunofluorescence,Biolegend,spatial,We further examined whether FAP+ fibroblasts and SPP1+ macrophages localize closely in CRC tissues.,Zhihong Lin
CT025,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Macrophages,SPP1+ macrophages,,," SPP1, CD206",,,,,8976074,Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer,Nature communications,2022,spatial transcriptome,Visium Spatial platform,Biological phenotype,co-localization,clinical samples,immunofluorescence,Biolegend,spatial,We further examined whether FAP+ fibroblasts and SPP1+ macrophages localize closely in CRC tissues.,Zhihong Lin
CT026,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Macrophages,SPP1+ macrophages,,,"SPP1, CD68",,,,,36656712,Spatial and single-cell transcriptomics decipher the cellular environment containing HLA-G+ cancer cells and SPP1+ macrophages in colorectal cancer,Cell reports,2023,single cell transcriptome,10× Genomics,Biological phenotype,invasion,clinical samples,immunofluorescence,Abcam,protein," Fluorescence multiplex immunostaining showed that macrophages were present throughout the tumor; however, SPP1+ macrophages were present only at the invasive front ",Zhihong Lin
CT027,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Macrophages,SPP1+ macrophages,,,"SPP1, CD68",,,,,36656712,Spatial and single-cell transcriptomics decipher the cellular environment containing HLA-G+ cancer cells and SPP1+ macrophages in colorectal cancer,Cell reports,2023,single cell transcriptome,10× Genomics,Biological phenotype,higher in budding areas,clinical samples,immunohistochemistry,Abcam,protein,A comparison between the percentage of SPP1+ macrophages in the center of the tumor versus that in budding and non-budding areas at the invasive front showed that the rate of SPP1+ macrophages was significantly higher in budding areas (Figures 5C and 5D).,Zhihong Lin
CT028,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Cancer cell,HLA-G+ cancer cells,,,HLA-G+,,,,,36656712,Spatial and single-cell transcriptomics decipher the cellular environment containing HLA-G+ cancer cells and SPP1+ macrophages in colorectal cancer,Cell reports,2023,single cell transcriptome,10× Genomics,Biological phenotype,tumor growth,cell line(MC-38),immunohistochemistry,Santa Cruz Biotechnology,protein," H2-M3 KO reduced CRC tumor volume in xenograft mouse models (Figures 6B and 6C). To investigate the cause, we performed IHC of the tumor xenografts and observed that tumor tissue from H2-M3 KO cells exhibited weaker H2-M3 staining and higher SPP1 and CD68 staining (SPP1+ macrophages) compared with wild-type cells (Figures 6D and 6E). ",Zhihong Lin
CT029,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Macrophages,SPP1+ macrophages,,,"SPP1, CD68",,,,,36656712,Spatial and single-cell transcriptomics decipher the cellular environment containing HLA-G+ cancer cells and SPP1+ macrophages in colorectal cancer,Cell reports,2023,single cell transcriptome,10× Genomics,Biological phenotype,tumor growth,cell line(MC-38),immunohistochemistry,Santa Cruz Biotechnology,protein," H2-M3 KO reduced CRC tumor volume in xenograft mouse models (Figures 6B and 6C). To investigate the cause, we performed IHC of the tumor xenografts and observed that tumor tissue from H2-M3 KO cells exhibited weaker H2-M3 staining and higher SPP1 and CD68 staining (SPP1+ macrophages) compared with wild-type cells (Figures 6D and 6E). ",Zhihong Lin
CT030,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Macrophages,APOE+CTSZ+tumor-associated macrophage,,,"APOE, CCL18, GPNMB, CTSL, SEPP1, CTSZ",,,,,36587392, Single-cell and spatial analyses reveal the association between gene expression of glutamine synthetase with the immunosuppressive phenotype of APOE+CTSZ+TAM in cancers.,Molecular oncology,2023,single cell transcriptome,CRC Single Cell Portal,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,We analyzed the expression of APOE and CTSZ within the bulk transcriptomes of CRC and found that the higher level of jointed APOE and CTSZ expression was correlated with worse overall survival，and disease-free survival in TCGA-COADREAD,Zhihong Lin
CT031,Human,Gut,Colorectum,,Colorectal adenocarcinoma,T cell,regulatory T cells,,,"FOXP3, CTLA4, LTB, ICOS",,,,,36587392, Single-cell and spatial analyses reveal the association between gene expression of glutamine synthetase with the immunosuppressive phenotype of APOE+CTSZ+TAM in cancers.,Molecular oncology,2023,single cell transcriptome,CRC Single Cell Portal,Biological phenotype,co-localization,clinical samples,multiplex immunofluorescence,Opal™ 7-Color IHC Kits,protein,"we performed mIF on available clinical CRC tissue. Immunofluorescent labeling demonstrated CD68/APOE-positive and CD68/CTSZ-positive cells localized and overlapped with GLUL-positive cells (Fig. 7A,B; Fig. S10) and colocalized with FOXP3-positive cells in nine CRC tissues sections",Zhihong Lin
CT032,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Macrophages,APOE+CTSZ+tumor-associated macrophage,,,"APOE, CCL18, GPNMB, CTSL, SEPP1, CTSZ",,,,,36587392, Single-cell and spatial analyses reveal the association between gene expression of glutamine synthetase with the immunosuppressive phenotype of APOE+CTSZ+TAM in cancers.,Molecular oncology,2023,single cell transcriptome,CRC Single Cell Portal,Biological phenotype,co-localization,clinical samples,multiplex immunofluorescence,Opal™ 7-Color IHC Kits,protein,"we performed mIF on available clinical CRC tissue. Immunofluorescent labeling demonstrated CD68/APOE-positive and CD68/CTSZ-positive cells localized and overlapped with GLUL-positive cells (Fig. 7A,B; Fig. S10) and colocalized with FOXP3-positive cells in nine CRC tissues sections",Zhihong Lin
CT033,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Macrophages,APOE+CTSZ+tumor-associated macrophage,,,"APOE, CCL18, GPNMB, CTSL, SEPP1, CTSZ",,,,,36587392, Single-cell and spatial analyses reveal the association between gene expression of glutamine synthetase with the immunosuppressive phenotype of APOE+CTSZ+TAM in cancers.,Molecular oncology,2023,spatial transcriptome,Stereo-seq,Biological phenotype,co-localization,clinical samples,spatial transcriptome,Stereo-seq,spatial,"Score of Macro_APOE/CTSZ and Treg signatures in each spot highlighted Macro_APOE/CTSZ and Treg may have colocalization in the same spot (Fig. 6C,D). In addition, the signature score of Macro_APOE/CTSZ and Treg showed a significantly positive correlation in two clinical samples ",Zhihong Lin
CT034,Human,Gut,Colorectum,,Colorectal adenocarcinoma,T cell,regulatory T cells,,,"FOXP3, CTLA4, LTB, ICOS",,,,,36587392, Single-cell and spatial analyses reveal the association between gene expression of glutamine synthetase with the immunosuppressive phenotype of APOE+CTSZ+TAM in cancers.,Molecular oncology,2023,spatial transcriptome,Stereo-seq,Biological phenotype,co-localization,clinical samples,spatial transcriptome,Stereo-seq,spatial,"Score of Macro_APOE/CTSZ and Treg signatures in each spot highlighted Macro_APOE/CTSZ and Treg may have colocalization in the same spot (Fig. 6C,D). In addition, the signature score of Macro_APOE/CTSZ and Treg showed a significantly positive correlation in two clinical samples ",Zhihong Lin
CT035,Human,Gut,Colorectum,,Colorectal adenocarcinoma,T cell,CXCL13+ T cells,,,"CD3. pAbO, CD8, CXCL13",,,,,37327339,Single-cell and spatial transcriptome analysis reveals the cellular heterogeneity of liver metastatic colorectal cancer.,Science advances,2023,single cell transcriptome,10× Genomics,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,we divided CRC patients from the Gene Expression Omnibus (GEO) cohort into CXCL13high and CXCL13low groups and found that the higher expression of CXCL13 in CC predicted better overall survival,Zhihong Lin
CT036,Human,Gut,Colorectum,,Colorectal adenocarcinoma,T cell,CXCL13+ T cells,,,"CD3. pAbO, CD8, CXCL13",,,,,37327339,Single-cell and spatial transcriptome analysis reveals the cellular heterogeneity of liver metastatic colorectal cancer.,Science advances,2023,single cell transcriptome,10× Genomics,Biological phenotype,more adjacent,clinical samples,immunohistochemistry,PANO 7-plex IHC kit,protein,"IHC results showed that CD69+CD103+CD8+ T cells were more adjacent to the CK19+ tumor cells than other CD8+ T cells in the tumor tissues (Fig. 5, D and E), facilitating their tumor-killing function.",Zhihong Lin
CT037,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Cancer cell,CK19+ cancer cell,,,"EPCAM, SOX9, CK19",,,,,37327339,Single-cell and spatial transcriptome analysis reveals the cellular heterogeneity of liver metastatic colorectal cancer.,Science advances,2023,single cell transcriptome,10× Genomics,Biological phenotype,more adjacent,clinical samples,immunohistochemistry,PANO 7-plex IHC kit,protein,"IHC results showed that CD69+CD103+CD8+ T cells were more adjacent to the CK19+ tumor cells than other CD8+ T cells in the tumor tissues (Fig. 5, D and E), facilitating their tumor-killing function.",Zhihong Lin
CT038,Human,Gut,Colorectum,,Colorectal adenocarcinoma,T cell,CXCL13+ T cells,,,"CD3. pAbO, CD8, CXCL13",,,,,37327339,Single-cell and spatial transcriptome analysis reveals the cellular heterogeneity of liver metastatic colorectal cancer.,Science advances,2023,spatial transcriptome,10× Genomics,Biological phenotype,co-localization,clinical samples,,,spatial," IHC analysis verified that F2_MCAM existed in CC and LM (Fig. 6D)Furthermore, we detected the locations of F2_MCAM and CD8_CXCL13 in LM through ST. Consistent with the single-cell results, regions with a higher F2_MCAM infiltration score had a higher CD8_CXCL13 infiltration score in the ST samples (Fig. 8, G and H).",Zhihong Lin
CT039,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Fibroblasts,F2_MCAM,,,"COL1A1, COL1A2, MCAM",,,,,37327339,Single-cell and spatial transcriptome analysis reveals the cellular heterogeneity of liver metastatic colorectal cancer.,Science advances,2023,single cell transcriptome,10× Genomics,Biological phenotype,existence,clinical samples,immunohistochemistry,Abcam,protein, IHC analysis verified that F2_MCAM existed in CC and LM (Fig. 6D),Zhihong Lin
CT040,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Fibroblasts,F2_MCAM,,,"COL1A1, COL1A3, MCAM",,,,,37327339,Single-cell and spatial transcriptome analysis reveals the cellular heterogeneity of liver metastatic colorectal cancer.,Science advances,2023,spatial transcriptome,10× Genomics,Biological phenotype,co-localization,clinical samples,,,spatial," IHC analysis verified that F2_MCAM existed in CC and LM (Fig. 6D)Furthermore, we detected the locations of F2_MCAM and CD8_CXCL13 in LM through ST. Consistent with the single-cell results, regions with a higher F2_MCAM infiltration score had a higher CD8_CXCL13 infiltration score in the ST samples (Fig. 8, G and H).",Zhihong Lin
CT041,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Fibroblasts,F4_F3 ,,,"COL1A1, COL1A3, F3",,,,,37327339,Single-cell and spatial transcriptome analysis reveals the cellular heterogeneity of liver metastatic colorectal cancer.,Science advances,2023,single cell transcriptome,10× Genomics,Biological phenotype,existence,clinical samples,immunohistochemistry,Abcam,protein,"However, consistent with the single-cell analysis, the F4_F3 subset only existed in CC, but not in LM, and this phenomenon might be caused by the absence of F4_F3 in LN and the presence in CN (Fig. 6, E and F).",Zhihong Lin
CT042,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Fibroblasts,F4_F3 ,,,"COL1A1, COL1A3, F3",,,,,37327339,Single-cell and spatial transcriptome analysis reveals the cellular heterogeneity of liver metastatic colorectal cancer.,Science advances,2023,spatial transcriptome,10× Genomics,Biological phenotype,existence,clinical samples,,,spatial,ST analysis also confirmed that there was more infiltration of F4_F3 subset in CC than in LM ,Zhihong Lin
CT043,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Fibroblasts,F4_F3 ,,,"COL1A1, COL1A3, F3",,,,,37327339,Single-cell and spatial transcriptome analysis reveals the cellular heterogeneity of liver metastatic colorectal cancer.,Science advances,2023,single cell transcriptome,10× Genomics,Biological phenotype,closely interact with tumor cell ,clinical samples,immunohistochemistry,PANO 7-plex IHC kit,protein,"The F4_F3 subset closely laid around the epithelial cells in both CN and CC, facilitating its interaction with the epithelial cells (Fig. 6I)",Zhihong Lin
CT044,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Fibroblasts,F4_F3 ,,,"COL1A1, COL1A3, F3",,,,,37327339,Single-cell and spatial transcriptome analysis reveals the cellular heterogeneity of liver metastatic colorectal cancer.,Science advances,2023,spatial transcriptome,10× Genomics,Biological phenotype,co-localization,clinical samples,,,spatial," ST analysis also indicated the colocalization of F3 with NRG1, which surrounded the ERBB3+ tumor cells",Zhihong Lin
CT045,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Fibroblasts,F4_F3 ,,,"COL1A1, COL1A3, F3",,,,,37327339,Single-cell and spatial transcriptome analysis reveals the cellular heterogeneity of liver metastatic colorectal cancer.,Science advances,2023,single cell transcriptome,10× Genomics,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,"Furthermore, the increased infiltration of F4_F3 in CC might lead to worse prognosis",Zhihong Lin
CT046,Human,Gut,Colorectum,,Colorectal adenocarcinoma,Granulocytes,Granulocytes,,,"	CD66b, S100A8, S100A9",,,,,31610266,Single-cell transcriptome analysis reveals tumor immune microenvironment heterogenicity and granulocytes enrichment in colorectal cancer liver metastases,Cancer letters,2020,single cell transcriptome,,Clinical phenotype,tumor infiltration,cell line,transwell migration assay,Shanghai Yanjin Biotech,,This phenomenon implies that Wnt signalling pathway activation may play an important role by recruiting granulocytes and promote tumor infiltration in CRC liver metastasis. The exact role of Wnt signalling pathway activation in granulocytes during CRC liver metastasis will be explored in the future.,Zhihong Lin
