CTID,species,tissue_class,tissue_type,uberonongology_id,cancer_type,major_cell_type,cell_name,cellontology_id,marker,Symbol,GeneID,Genetype,Genename,UNIPROTID,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,Phenotype_label,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence,curator
CT156,Human,Liver,Liver,,Hepatocelluar carcinoma,dendritic cell,migratory cDC2,,,"FLT3, SIRPa",,,,,30955881,Unleashing Type-2 Dendritic Cells to Drive Protective Antitumor CD4+ T Cell Immunity,Cell,2019,single cell transcriptome,10× Genomics,Biological phenotype,CD4+ Tconv priming,mice,Flow cytometry,BD Bioscience,protein,"To test whether cDC2 were required in vivo for initiating CD4+ Tconv priming, mice deficient in Irf4 in DC, which lack LN cDC2 (Krishnaswamy et al., 2017), were used.",
CT157,Human,Liver,Liver,,Hepatocelluar carcinoma,dendritic cell,migratory cDC2,,,"FLT3, SIRPa",,,,,30955881,Unleashing Type-2 Dendritic Cells to Drive Protective Antitumor CD4+ T Cell Immunity,Cell,2019,single cell transcriptome,10× Genomics,Clinical phenotype,Treg depletion and tumor rejection,mice,Xenograft mouse model,Mouse: Foxp3DTR (B6.129(Cg)-Foxp3tm3(DTR/GFP)Ayr/J) (The Jackson Laboratory),clinical data,"Diphtheria toxin (DT) treatment of Foxp3DTR mice (Kim et al., 2007) led to robust Treg depletion and tumor rejection (Figures 3B, S3B, and S3C) that required CD4+ Tconv as previously shown (Bos et al., 2013) (Figure 3C).",
CT158,Human,Liver,Liver,,Hepatocelluar carcinoma,dendritic cell,migratory cDC2,,,"FLT3, SIRPa",,,,,30955881,Unleashing Type-2 Dendritic Cells to Drive Protective Antitumor CD4+ T Cell Immunity,Cell,2019,single cell transcriptome,10× Genomics,Biological phenotype,primed more effectively,mice,co-culture,UC San Francisco,protein,"To determine whether cDC2 in the absence of Treg primed more effectively, we measured CD69 expression on divided OT-II co-cultured with cDC2 in vitro (Figure 4C) and on divided OT-II transferred in vivo (Figure S5G). In both settings, similar to OT-II in X31pOVA (Figure 2), primed OT-II had increased expres sion of CD69 compared to in control tdLN.",
CT159,Human,Liver,Liver,,Hepatocelluar carcinoma,dendritic cell,migratory cDC2,,,"FLT3, SIRPa",,,,,30955881,Unleashing Type-2 Dendritic Cells to Drive Protective Antitumor CD4+ T Cell Immunity,Cell,2019,single cell transcriptome,10× Genomics,Clinical phenotype,better progression-free survival (PFS),clinical samples,survival analysis,analysis,clinical data,"While cancer staging at the time of analysis was similar (Figure 7D), progres sion-free survival was significantly better in BDCA-1+ cDC2HIGH/TregLOW TME patients than either of the other two TME classes (Figure 7E).",
CT160,Human,Liver,Liver,,Hepatocelluar carcinoma,Fibroblast,POSTN+ CAF,,,POSTIN,,,,,38168935,Presence of onco-fetal neighborhoods in hepatocellular carcinoma is associated with relapse and response to immunotherapy,Nature cancer,2024,single cell transcriptome,BD Biosciences,Biological phenotype,immuno suppression,clinical samples,RNAscope in situ hybridization (RNA-ISH),HiPlex12 Reagent Kit v2 Standard Assay kit (Advanced Cell Diagnostics),RNA,"We further validated the existence of the onco-fetal niche by RNAscope experiments and observed increased expression of FOLR2 and PLVAP transcripts in POSTN+ CAF cellular neighborhoods in both HCC tumor and fetal liver (Fig. 4e,f and Supplementary Fig. 6c). ",
CT161,Human,Liver,Liver,,Hepatocelluar carcinoma,Fibroblast,POSTN+ CAF,,,POSTIN,,,,,38168935,Presence of onco-fetal neighborhoods in hepatocellular carcinoma is associated with relapse and response to immunotherapy,Nature cancer,2024,single cell transcriptome,BD Biosciences,Clinical phenotype,worse overall survival,clinical samples,survival analysis,analysis,clinical data,"Furthermore, patients with higher levels of onco-fetal CAF signatures and of POSTN alone were associated with worse overall survival in treatment-naive patients (Fig. 2h,i).",
CT162,Human,Liver,Liver,,Hepatocelluar carcinoma,Fibroblast,POSTN+ CAF,,,POSTIN,,,,,38168935,Presence of onco-fetal neighborhoods in hepatocellular carcinoma is associated with relapse and response to immunotherapy,Nature cancer,2024,single cell transcriptome,BD Biosciences,Biological phenotype,immuno suppression,clinical samples,Spatial RNA-seq,Stereo-seq,spatial data,"As expected, the results confirmed the significant co-localization of CXCL12–CXCR4 pairs, involving inter actions between POSTN+ CAF and FOLR2+ TAM, and DLL4–NOTCH3 pairs involving interactions between PLVAP+ EC and POSTN+CAF (Extended Data Fig. 6d–g).",
CT163,Human,Breast,Breast,,Breast carcinoma,Macrophages, lipid-associated macrophages,,,"FABP5, APOE, TREM2, CCL18",,,,,34493872,A single-cell and spatially resolved atlas of human breast cancers,Nature genetics,2021,single cell transcriptome,10x Genomics,Clinical phenotype,worse overall survival,clinical samples,survival analysis,analysis,clinical data,Patients with higher levels of SPP1 alone or of the signature of SPP1+ TAMs were associated with worse overall survival (OS) in treatment-naive patients (Figures 5E and 5F).,
CT164,Human,Breast,Breast,,Breast carcinoma,epithelial cell, early-disseminated cancer cell (EDC),,,,,,,,36594618,Combined Single-Cell and Spatial Transcriptomics Reveal the Metabolic Evolvement of Breast Cancer during Early Dissemination,Advanced science,2023,single cell transcriptome,10× Genomics,Biological phenotype,migration,cell line,Transwell Assays, Corning Transwell Inserts (8.0 μm),protein,"In the transwell migration assay, mi grated cells transfected with shIL4I1 were remarkably decreased by 60% or more compared with control (Figure 5B and Figure S5B, Supporting Information), indicating high levels of COX6C and DHRS2 could facilitate breast cancer invasion.",
CT165,Human,Breast,Breast,,Breast carcinoma,epithelial cells, early-disseminated cancer cell (EDC),,,,,,,,36594618,Combined Single-Cell and Spatial Transcriptomics Reveal the Metabolic Evolvement of Breast Cancer during Early Dissemination,Advanced science,2023,single cell transcriptome,10× Genomics,Biological phenotype,proliferation inhibition,cell line,Cell Proliferation Assays," Cell Counting Kit-8 (Dojindo, Rockville, MD, USA)",protein,"To evaluate the role of COX6C and DHRS2 in breast cancer cells, we utilized short hairpin RNA (shRNA) to generate T-47D, MDA MB-231, and MCF-7 cell lines with low COX6C or DHRS2 expres sion. Downregulation of COX6C and DHRS2 notably inhibited the proliferation of breast cancer cells (Figure 5A and Figure S5A, Supporting Information).",
