数据集,Datasets,Cancer type,Platform,Sample,Drug,Response,Treatment
,GSE188249,Ovarian Cancer,Illumina HiSeq 2000,17,Guadecitabine+Pembrolizumab,"10NR,7R","Chemotherapy,Immunotherapy"
,E-MTAB-6270,Brain Cancer,,12,Peptide vaccine immunotherapy,"5 CR or PR, 7 SD",Immunotherapy
,TCGA-SKCM,Skin Cancer,,8,Ipilimumab,"6NR,2R",Immunotherapy
,TCGA-SKCM,Skin Cancer,,16,Peginterferon alfa-2a,"7NR,9R",Immunotherapy
,GSE139050,Breast Cancer,Illumina HiSeq 2500,6,Bevacizumab+Durvalumab,"3NR,3R","Chemotherapy,Immunotherapy"
,GSE194040,Breast Cancer,GPL20078；GPL30493,34,MK-2206+Paclitaxel+Trastuzumab,"17NR,17R","Chemotherapy,Immunotherapy"
,GSE194040,Breast Cancer,GPL20078；GPL30493,69,Paclitaxel+Pembrolizumab,"38NR,31R","Chemotherapy,Immunotherapy"
,GSE194040,Breast Cancer,GPL20078；GPL30493,19,Paclitaxel+Trastuzumab+Trebananib,"13NR,6R","Chemotherapy,Immunotherapy"
,GSE194040,Breast Cancer,GPL20078；GPL30493,52,Pertuzumab+Trastuzumab emtansine,"22NR,30R","Chemotherapy,Immunotherapy"
,GSE194040,Breast Cancer,GPL20078；GPL30493,107,Ganitumab+Paclitaxel,"83NR,24R","Chemotherapy,Targeted therapy,"
,GSE194040,Breast Cancer,GPL20078；GPL30493,44,Paclitaxel+Pertuzumab+Trastuzumab,"18NR,26R",Immunotherapy
,GSE194041,Breast Cancer,GPL20078；GPL30493,31,Paclitaxel+Trastuzumab,"23NR,8R","Chemotherapy,Targeted therapy,Immunotherapy"
,GSE20194,Breast Cancer,GPL96,6,TH (Paclitaxel+Trastuzumab)/FAC (Cyclophosphamide+Doxorubicin+Fluorouracil),"4NR,2R",Immunotherapy
,GSE241876,Breast Cancer,Illumina HiSeq 4000,15,Carboplatin+Paclitaxel+Pembrolizumab,"7NR,8R","Chemotherapy,Targeted therapy,Immunotherapy"
,GSE28844,Breast Cancer,GPL570,16,Cyclophosphamide+Epirubicin+Gemcitabine+Paclitaxel+Trastuzumab,"8NR,8R","Chemotherapy,Immunotherapy"
,GSE37946,Breast Cancer,GPL96,50,Trastuzumab,"23NR,27R","Chemotherapy,Immunotherapy"
,GSE42822,Breast Cancer,GPL96,25,FEC (Cyclophosphamide+Epirubicin+Fluorouracil)/TX (Capecitabine+Docetaxel)+Trastuzumab,"13NR,12R","Chemotherapy,Targeted therapy,Immunotherapy"
,GSE44272,Breast Cancer,GPL13667,8,Trastuzumab,"2NR,6R","Chemotherapy,Immunotherapy"
,GSE44272,Breast Cancer,GPL13667,45,Trastuzumab,"16NR,29R",Immunotherapy
,GSE50948,Breast Cancer,GPL570,63,AT (Doxorubicin+Paclitaxel)+CMF (Cyclophosphamide+Fluorouracil+Methotrexate)+Trastuzumab,"32NR,31R","Chemotherapy,Immunotherapy"
,GSE66305,Breast Cancer,GPL570,23,TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel)+Trastuzumab,"17NR,6R","Chemotherapy,Immunotherapy"
,GSE66305,Breast Cancer,GPL570,34,TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel)+Trastuzumab+Lapatinib,"21NR,13R",Immunotherapy
,GSE66999,Breast Cancer,GPL6480,76,Docetaxel+Epirubicin+Pegfilgrastim,"6NR,70R",Chemotherapy
,GSE70233,Breast Cancer,GPL570,22,Trastuzumab+Vinorelbine,"19NR,3R","Chemotherapy,Immunotherapy"
,GSE76360,Breast Cancer,GPL6947,48,Trastuzumab,"6NR,42R","Targeted therapy,Immunotherapy"
,ArrayExpress:E-MTAB-3218,Kidney Cancer,,56,Nivolumab,"47NR,9R",Immunotherapy
,ArrayExpress:E-MTAB-3219,Kidney Cancer,,57,Nivolumab,"50NR,7R","Chemotherapy,Immunotherapy"
,GSE180925,Kidney Cancer,Illumina HumanHT-12 WG-DASL V4.0 R2 expression beadchip,22,Sorafenib,"10NR,12R","Targeted therapy,Immunotherapy"
,GSE67501,Kidney Cancer,Illumina HumanHT-12 WG-DASL V4.0 R2 expression beadchip,11,Nivolumab,"7NR,4R",Immunotherapy
,GSE87121,Kidney Cancer,GPL5175,10,Sorafenib,"5NR,5R",Immunotherapy
,GSE154538,Esophageal Cancer,GPL23934,6,Nivolumab,"3NR,3R",Immunotherapy
,PRJEB25780,Gastric Cancer,Illumina HiSeq 2500,45,Anti-PD1,45 R,Immunotherapy
,PRJEB40416,Gastric Cancer,Illumina HiSeq 2500,15,Anti-PD1,15 R,Immunotherapy
